,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
f_rotated___93,0.1293878973886093,0.8699833367201146,0.03736891304244458,-1.61074355434276,1.8206107978344006,232.83736645131333,1.0004032872904434
f_rotated___94,-0.130023100680297,1.0338145678126536,0.05457681756479149,-2.1739904358852136,1.7047921609879844,90.84238704539672,1.0058290444268738
f_rotated___95,0.2625577532209597,1.013759859879079,0.05286054273954992,-1.6803232536187884,2.1935303920200773,29.906107577098396,1.0577694186670679
f_rotated___96,0.0697752331549877,0.9553141652444715,0.04357341076699137,-1.7780121819897454,1.9855345710642236,161.5623946652634,1.0191695965493097
f_rotated___97,-0.034584482783966315,0.9186053370922496,0.03163601295902179,-1.963774729892459,1.6981386174142263,644.317456794509,0.9995457517512563
f_rotated___98,0.06429604171203299,0.9869367345271651,0.04406933785696353,-1.924973093920892,1.9085588751072053,228.6915809776175,1.0115641088538287
f_rotated___99,-0.23016832203880264,1.0517028946670302,0.06363834814249127,-2.168506382307753,1.9074819977347923,39.82184382636307,1.0355861114930076
lambda_local_scale__0,298.93514542911515,7110.069969604905,267.094278530555,0.0001981570943557429,115.21584195075675,704.0107128518287,1.0012344861895843
lambda_local_scale__1,49.03511848841829,580.1057469411681,15.3328594869884,0.02332931138661336,109.54088012598508,1378.5168195041035,1.0024691757510447
lambda_local_scale__2,53.607518285504646,306.2090392310991,8.990518509336772,0.012483569833636174,168.44715944389725,39.64975967194962,1.0273446058889515
lambda_local_scale__3,49.72557523603824,371.95462376235685,15.028766837401866,0.004920699344935354,110.07710166652801,351.6743413622646,0.9995296082245136
lambda_local_scale__4,82.53546926361973,1005.095422558844,30.8655842111107,0.0034748134617804596,146.3670314006768,820.4018476885259,1.005571946760955
lambda_local_scale__5,2.5111304879247056,5.259535990152043,0.3048552185819638,0.0016860301400539405,10.788755975397171,44.49054787797649,1.0393157155826103
lambda_local_scale__6,1.3402778056869893,2.868894712898,0.08234003602732828,0.0032246119047196395,3.804589316462667,821.6617261067356,1.006714655483224
lambda_local_scale__7,1.5186499433834288,2.273650513253802,0.15422680061158406,0.0024202462735064944,6.2025993771562264,21.880650325506284,1.0760848517707113
lambda_local_scale__8,1.5514498164546586,3.043276084297602,0.12983871036703817,0.0015190749364990843,4.956813497910705,18.58783563080482,1.0613807895425944
lambda_local_scale__9,1.7781504338778433,2.6950684183358256,0.11388969354445733,0.0021874620721614797,5.607757209633772,579.7193695730147,1.0021772115626355
lambda_local_scale__10,1.6025108403694317,6.81801520900073,0.2509728158297702,0.000456991965066255,4.329364309459581,691.6576363861078,1.0019762811829496
lambda_local_scale__11,1.5585539687668686,2.3674349412584705,0.11927369749539737,0.00040782031415216965,4.842588806296448,13.614524208952098,1.0848144127055808
lambda_local_scale__12,1.3524166023462754,4.786307765294774,0.1510250987236027,0.0009813264597356584,3.6768725407675,935.4359968843911,1.0061589343004484
lambda_local_scale__13,1.1119143404923268,1.4027301588309853,0.058316421244787066,1.8213204230699423e-05,3.617759636112624,153.18600446244162,1.0301141356495072
lambda_local_scale__14,1.6215629340189008,3.073117951712183,0.1336237449709819,0.0015466873719816767,4.106927288934296,95.9429897147192,1.0317194827586345
lambda_local_scale__15,1.4205114481026166,3.4097575992714177,0.12607081674229526,1.9033554185295997e-05,4.086229552458451,392.18327553378214,1.0108275725935316
lambda_local_scale__16,1.7721527218869062,7.89180089803833,0.31577730586791536,0.0032472946247020353,4.299412788647346,291.7901592943833,1.011797516836592
lambda_local_scale__17,1.3291290732005563,2.3345688046958974,0.11683560887948283,0.0033108118508393017,4.341483958568519,55.32784344273724,1.0469715760013405
lambda_local_scale__18,1.9344305859347541,15.876249882547636,0.4735338520367183,0.0018162939493088566,3.6796703303946994,1108.7064064188023,1.0036118956016045
lambda_local_scale__19,2.249385792951575,9.013353067441068,0.3758770666184973,0.0007367462642767938,5.396687905417301,300.5490585556736,1.0121973252478014
sigma,0.9211438110610611,0.6874014248720901,0.04969379494333841,0.000993398443033543,2.2042210375890443,5.443146253617817,1.1840853962960296
psi,1.4547861391312114,0.6268045070131092,0.04726413910809076,0.7245779490487324,2.7725211448356473,29.808147830587245,1.0036222884982033
eta_1_base,4.583560448906123,8.024962428560185,0.4541627572162735,0.00020887651895579827,15.28499773319997,4.475932207048562,1.190025840227949
